gene	conMean	treatMean	logFC	pValue	fdr
IL15	0.314206821224944	0.688991718262806	1.1327721407811	6.4663503801501e-69	2.24904762852462e-67
AICDA	0.010559977389755	0.290000133162584	4.77937491187861	1.84933715468558e-34	2.88877101341981e-33
POU2AF1	0.418669157737194	2.38094337919822	2.50765076500385	3.14989692501673e-57	8.28299710952723e-56
LY6D	4.95510906706459	11.0949697930312	1.16291702160353	4.99481718282819e-09	2.03027672535167e-08
CD96	0.539893917447661	2.74802886636971	2.34764929056655	1.05650447301652e-106	1.79745779077907e-104
MSR1	4.13658605723831	8.35522963385301	1.01423888345283	7.89561691623439e-47	1.62527706230533e-45
MIXL1	0.125217317407572	0.348294635654788	1.47587415398012	1.95433171793073e-33	2.96743206332256e-32
CSF3	0.0397637267884187	0.135732955657016	1.77124616388982	2.04306403929886e-08	7.63634391184203e-08
LPXN	5.12169942093541	11.7657735100223	1.19990167733818	2.66950275499913e-106	4.23551105655536e-104
UBD	3.33447074300668	16.89739137902	2.34127084439446	3.73451142505526e-60	1.044258135311e-58
HLA-DOA	4.02135060200445	12.7435937572383	1.66402015389601	4.29372730593798e-99	4.30012221894682e-97
MMP7	24.4892308753853	56.1614945531403	1.19743386432816	1.34317940149655e-21	1.4412641587031e-20
LILRA4	0.344278537071269	1.20823930514477	1.81125807597681	1.66654197926216e-59	4.57845122357217e-58
FCRL1	0.0413313187861915	0.602198790570156	3.8649325080189	5.63525320729125e-60	1.56644508937322e-58
MUC16	0.451193026293987	0.931676865514477	1.04608490076333	2.98086649569435e-08	1.09048745558808e-07
LST1	2.20944617750557	5.80190816035635	1.39284267176864	1.15658982704726e-106	1.94431011282552e-104
IGLL1	0.0352229787082405	0.391386312538975	3.47400447918591	1.84019984099915e-27	2.36877501866445e-26
IL33	2.57415402506904	5.20545983138085	1.01592723146982	1.0771552085068e-20	1.11841975730327e-19
DNASE1L3	0.229217356942094	0.570722640262806	1.31607350219237	6.09535254147392e-33	9.13720522698017e-32
EOMES	0.238883157026726	1.35926348930958	2.50844810332922	1.01447304884129e-91	6.8542458960229e-90
MMP12	2.19885120107795	5.81455081222049	1.40291776582828	7.53710563959335e-17	6.43479254756334e-16
ACY3	0.570564187037862	3.15605162443207	2.46765970379191	3.61176348675873e-31	5.22558526603689e-30
CALHM6	2.58803484391982	9.22187513429844	1.83320309041746	3.10050578933924e-93	2.26850996120515e-91
CD40	3.62149614432071	8.28572865701559	1.19404273605981	8.83804349576304e-88	5.20008384181958e-86
SELP	1.5622443261804	3.48603032283519	1.15796501816226	3.54743570032954e-24	4.143369687705e-23
PNMA5	0.128946986216036	0.329245993723831	1.35238783136644	3.04120282945741e-13	1.97538294180166e-12
HIST1H4C	0.217997148329621	0.496303028262806	1.18691199456579	0.0352230026804168	0.049143762558064
SPNS3	0.190258582057906	0.41359560908686	1.12025933812078	1.1276110168708e-41	2.07330666266049e-40
LSP1	7.66256965345212	17.7741654075724	1.21388163095833	1.58985810081212e-81	7.58458994647566e-80
CLLU1OS	0.105274575077951	0.438109476169265	2.05713436769783	1.24602352153493e-19	1.22956660709956e-18
KCNAB2	1.37412496481069	3.17401920801782	1.20779764807911	1.05981996616893e-92	7.59681103668602e-91
CD74	336.819709420935	978.796524944321	1.5390324174205	2.15582834671397e-110	5.07374201399133e-108
UTS2	0.068191315830735	0.269900314824053	1.98476673089454	1.48796809524626e-48	3.19325189558852e-47
CCL19	8.29964826138085	49.302253836637	2.570531498915	1.88945790479411e-52	4.43206562684346e-51
AMPD1	0.135928571276169	0.302276396835189	1.15301959811545	2.60606681583951e-30	3.68740175415528e-29
LYN	3.84102106636971	8.40017128285078	1.12892886885955	1.99290839876469e-78	8.82189952945335e-77
SELL	5.23635507394209	12.4918832683742	1.25435615917355	4.18268004448346e-79	1.87503571136987e-77
DOK2	1.32838521714922	5.0509440064588	1.92687947538799	5.04400781985252e-111	1.31900804489143e-108
FAM78A	1.01076298685969	2.77875569977728	1.45899426221013	4.28046884972483e-116	2.08429312506774e-113
PTGDS	3.8301507811804	18.0281280238307	2.23477650744856	3.9110779210254e-52	9.08360712546047e-51
IL12B	0.0411455368752784	0.219958171585746	2.41842134656133	2.71793101072426e-73	1.0572976254115e-71
GFI1	0.24717775036971	0.900802959153675	1.86566268137481	1.15350863719279e-87	6.75879479908688e-86
SHISA3	0.0836449832405345	0.301630539420935	1.8504315859431	1.31726306196785e-12	8.05938981717851e-12
GSDMA	0.290195616285078	0.617395192327394	1.08916852257371	6.56783035147441e-28	8.59539688537258e-27
HAVCR2	3.14216411202673	7.37950451670379	1.23176541933457	6.6356234484769e-98	6.28870058496257e-96
APOBEC3H	0.289530748175947	1.05373912605791	1.86372926778635	5.32327895251097e-92	3.66683034577597e-90
