gene	conMean	treatMean	logFC	pValue	fdr
DGKI	0.149661735844098	0.31811446701559	1.08784057002259	1.08321038930604e-68	6.47110840941815e-67
PLAU	22.0645675278396	46.4815879420935	1.07492788578018	1.45421292386018e-48	3.48420167146076e-47
ZNF831	0.147521226525612	0.365111125182628	1.30741307350489	1.52604803048779e-29	1.52728688866752e-28
CLMP	4.2013279267706	8.68429051447661	1.04756259198123	2.15975480432147e-76	1.9142767909414e-74
ARHGAP28	0.425796431153675	0.964566224498886	1.17971643542173	2.23823060752725e-78	2.19946704845486e-76
CLEC4D	0.065582767403118	0.269939943309577	2.0412497840821	1.07695951231931e-08	3.00507159394283e-08
SHISA6	0.269522458494432	0.54046077157461	1.0037844127778	7.80243241276362e-37	1.07968148928048e-35
THBS2	32.4660512494432	93.4931496904232	1.52592873705168	1.58245834176827e-84	2.3844130636355e-82
PRR5L	1.10193731469933	2.25754940378619	1.03471540327261	7.89587068881638e-89	1.48716531126443e-86
PI16	1.58247785727617	5.87345519998886	1.89202413983171	1.32599298776089e-18	7.76751227085332e-18
ITIH5	0.881297821069042	2.11001377505568	1.25955087418643	2.84295669349793e-34	3.44533831282622e-33
SLC9A9	1.12487346080178	2.31734338797327	1.04270912209821	8.83805482485244e-70	5.60060100373009e-68
CRTAM	0.382031933342984	0.878555117260579	1.20143956284883	6.18239710933962e-43	1.14378563710443e-41
TNFSF4	1.38256197042316	2.93759940489978	1.08729352393212	3.74193255211558e-51	1.01488694678479e-49
HGF	0.417827255418708	0.991978449888641	1.24740217494496	2.97595048781883e-71	2.05902370231179e-69
GPR34	2.43880472806236	5.57293367928731	1.19226273668785	6.67463688026586e-69	4.02287781036824e-67
TBX18	0.47673882974833	1.13150901589087	1.24697703916678	5.0734001865007e-85	8.00004417780651e-83
TFEC	0.726744412048998	1.48382883741648	1.02980470522895	3.20264112232447e-38	4.71563694460827e-37
LUM	115.770916966748	372.921390801782	1.68759867592756	1.28717174714207e-109	1.93948178477707e-106
FCRL2	0.134666247986637	0.300251260334076	1.15678199490191	2.20121874841552e-16	1.11800477330573e-15
GPR141	0.376601417126949	0.873532077906459	1.21382225413251	1.26671253552204e-62	5.84281928374639e-61
UBASH3A	0.47616666611804	0.989721682988864	1.05555625699724	4.62016474636693e-26	3.96795782935288e-25
COL5A3	5.30552858106904	10.7382305755011	1.0171878917153	7.54877577284349e-45	1.55104467053834e-43
INHBA	6.70187802628062	15.730215063029	1.23090106042842	7.64075293917814e-62	3.36416398078554e-60
FIBIN	5.94096322247216	16.8063558363029	1.50023817267595	5.23961122653182e-91	1.12784710861902e-88
FCRLA	0.415904710378619	0.972894572650334	1.22603045188578	1.01735346717987e-20	6.71354275835826e-20
SPARCL1	47.4275083853007	111.394149020045	1.23187747386535	1.59756558499146e-69	1.00299013416987e-67
JAML	0.711021456625835	1.54984462603563	1.12415858858244	1.10639219075112e-36	1.52168199784746e-35
CAVIN2	1.75242420249443	4.46852585389755	1.35044692666782	9.21401905701188e-33	1.04299926904957e-31
CHSY3	0.856335409643653	2.02440415389755	1.24124945219769	1.22341610194734e-88	2.27270489842574e-86
COL14A1	5.69690777946548	20.3119086256125	1.83407485264072	1.70445907450865e-66	9.20883247386924e-65
GYPE	0.0828737801870824	0.180836636051225	1.1256993502265	5.16495044065714e-48	1.21600508551652e-46
SLIT3	2.1176919191314	5.29545871314031	1.3222629394925	1.80961573987188e-87	3.22897355900034e-85
FBLN1	22.2371148670379	44.6946994565702	1.00713412679382	1.15082592947972e-57	4.10693432359855e-56
LRRN4CL	0.41156080713363	1.30976234614699	1.67012755499488	6.35948621937345e-64	3.1021939791699e-62
ABCA10	0.155123791253898	0.315094815155902	1.02236604647246	6.41750192827204e-19	3.83551095854108e-18
ABCB1	0.536221244848552	1.18190548928731	1.14021439095307	5.25511709096448e-36	6.91218650538985e-35
ADAMTS5	1.04735516387528	2.19731799020045	1.06899291694967	3.39525155195224e-62	1.51957116488529e-60
LAMA2	2.0237990677951	5.66493371024499	1.48499301440412	7.8860306507837e-70	5.02077284766562e-68
NDN	4.43806606075724	9.71710768374165	1.13059581444712	4.97502247688978e-87	8.54003541887371e-85
SFRP4	13.8513686720713	50.7479088752784	1.87331983772474	3.20159746789314e-81	3.77537941409555e-79
HEPACAM	0.0327089190846325	0.103957419414254	1.66823673734812	6.61723690653033e-15	3.02448094672928e-14
FAM129C	0.161366908262806	0.344004846265033	1.0920841359819	2.10016466628423e-08	5.71435253601132e-08
CNN1	4.9977262610245	10.549890514922	1.0778842385571	3.80591217660571e-40	6.27119988176793e-39
FCRL3	0.290315016948775	0.630100262040089	1.11796221032123	1.33189028130041e-18	7.79868916438465e-18
RASGRF2	0.706831710890869	1.92934848775056	1.44867508240888	1.55634677272048e-106	1.50754418463303e-103
MEOX1	1.2125932625657	2.76625345362138	1.18983763556472	8.1704655798216e-19	4.8426435195787e-18
GPR15	0.143086071160356	0.431949437643653	1.59397920740401	3.22830139831911e-21	2.19994951068369e-20
KCTD12	10.2324831224944	22.5859579331849	1.14226981658031	1.19966978581653e-91	2.75741050261999e-89
